Run,GPS_code,Site,Treatment,salvia left,encelia_left,bromus_left,brassica_left,Total_eaten,Day_set_out,Day_collected,Days_Out,Notes
Ja27,JL_Jan27_S5,5,C,20,20,20,20,0,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S5,5,A+,19,20,20,20,1,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S5,5,BR+,14,20,19,16,11,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S6,6,C,20,20,20,19,1,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S6,6,A+,20,20,18,20,2,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S6,6,BR+,20,18,20,20,2,1/27/2018,1/29/2018,2,
Fe15,JL_Feb15_S1,1,C,19,20,20,18,3,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S1,1,A+,20,19,19,20,2,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S1,1,BR+,8,5,7,13,47,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S2,2,C,19,19,20,20,2,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S2,2,A+,19,20,20,19,2,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S2,2,BR+,17,18,16,19,10,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S3,3,C,19,19,20,19,3,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S3,3,A+,18,19,20,20,3,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S3,3,BR+,14,17,15,18,16,2/15/2018,2/18/2018,3,
Fe15,JL_Feb15_S4,4,C,18,20,20,20,2,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S4,4,A+,20,20,20,19,1,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S4,4,BR+,8,4,7,1,60,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S5,5,C,19,20,19,19,3,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S5,5,A+,0,1,18,0,61,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S5,5,BR+,8,13,16,2,41,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S6,6,C,19,19,20,17,5,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S6,6,A+,20,19,20,20,1,2/15/2018,2/17/2018,2,
Fe15,JL_Feb15_S6,6,BR+,0,2,0,0,78,2/15/2018,2/17/2018,2,
Ma5,JL_Mar5_S1,1,C,20,20,20,20,0,3/5/2018,3/8/2018,3,
Ma5,JL_Mar5_S1,1,A+,19,20,19,20,2,3/5/2018,3/8/2018,3,
Ma5,JL_Mar5_S2,2,C,20,20,20,20,0,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S2,2,A+,20,19,20,19,2,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S2,2,BR+,7,17,16,14,26,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S3,3,C,20,19,20,20,1,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S3,3,A+,20,20,20,20,0,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S3,3,BR+,12,15,13,3,37,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S4,4,C,20,20,20,19,1,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S4,4,A+,19,19,19,19,4,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S4,4,BR+,13,15,13,8,31,3/5/2018,3/6/2018,1,
Ma5,JL_Mar5_S5,5,C,20,19,20,20,1,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S5,5,A+,20,20,20,18,2,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S5,5,BR+,2,4,18,0,56,3/5/2018,3/7/2018,2,
Ma5,JL_Mar5_S6,6,C,19,20,18,20,3,3/5/2018,3/8/2018,3,
Ma5,JL_Mar5_S6,6,A+,20,20,20,19,1,3/5/2018,3/8/2018,3,
Ma5,JL_Mar5_S6,6,BR+,20,20,18,20,2,3/5/2018,3/8/2018,3,
Ma23,JL_Mar23_S1,1,C,19,18,20,20,3,3/23/2018,3/26/2018,3,
Ma23,JL_Mar23_S1,1,A+,20,20,20,20,0,3/23/2018,3/26/2018,3,
Ma23,JL_Mar23_S1,1,BR+,15,17,19,10,19,3/23/2018,3/26/2018,3,
Ma23,JL_Mar23_S2,2,C,19,20,20,20,1,3/23/2018,3/24/2018,1,
Ma23,JL_Mar23_S2,2,A+,20,20,20,20,0,3/23/2018,3/24/2018,1,
Ma23,JL_Mar23_S2,2,BR+,3,5,4,2,66,3/23/2018,3/24/2018,1,
Ma23,JL_Mar23_S3,3,C,20,19,20,20,1,3/23/2018,3/25/2018,2,
Ma23,JL_Mar23_S3,3,A+,18,20,19,15,8,3/23/2018,3/25/2018,2,
Ma23,JL_Mar23_S3,3,BR+,16,16,20,15,13,3/23/2018,3/25/2018,2,
Ma23,JL_Mar23_S6,6,C,20,19,20,19,2,3/23/2018,3/26/2018,3,
Ma23,JL_Mar23_S6,6,A+,19,20,20,20,1,3/23/2018,3/26/2018,3,
Ma23,JL_Mar23_S6,6,BR+,19,20,19,19,3,3/23/2018,3/26/2018,3,
Ap12,Ap12_S1,1,C,20,20,20,19,1,4/12/2018,4/15/2018,3,
Ap12,Ap12_S1,1,A+,19,20,20,19,2,4/12/2018,4/15/2018,3,
Ap12,Ap12_S1,1,BR+,18,20,20,14,8,4/12/2018,4/15/2018,3,
Ap12,Ap12_S2,2,C,20,20,20,20,0,4/12/2018,4/15/2018,3,
Ap12,Ap12_S2,2,A+,19,18,20,17,6,4/12/2018,4/15/2018,3,
Ap12,Ap12_S2,2,BR+,19,20,20,19,2,4/12/2018,4/15/2018,3,
Ap12,Ap12_S3,3,C,20,20,20,20,0,4/12/2018,4/13/2018,1,
Ap12,Ap12_S3,3,A+,18,20,20,15,7,4/12/2018,4/13/2018,1,
Ap12,Ap12_S3,3,BR+,5,10,16,2,47,4/12/2018,4/13/2018,1,
Ap12,Ap12_S4,4,C,20,20,20,20,0,4/12/2018,4/15/2018,3,
Ap12,Ap12_S4,4,A+,17,19,19,18,7,4/12/2018,4/15/2018,3,
Ap12,Ap12_S4,4,BR+,19,18,19,17,7,4/12/2018,4/15/2018,3,
Ap12,Ap12_S5,5,C,20,20,20,20,0,4/12/2018,4/15/2018,3,
Ap12,Ap12_S5,5,A+,19,18,20,20,3,4/12/2018,4/15/2018,3,
Ap12,Ap12_S5,5,BR+,5,14,17,11,33,4/12/2018,4/15/2018,3,
Ap12,Ap12_S6,6,C,20,20,20,20,0,4/12/2018,4/15/2018,3,
Ap12,Ap12_S6,6,A+,20,20,20,20,0,4/12/2018,4/15/2018,3,
Ap12,Ap12_S6,6,BR+,20,18,20,18,4,4/12/2018,4/15/2018,3,
Ap26,Ap23_S1,1,C,20,20,20,20,0,4/23/2018,4/25/2018,2,
Ap26,Ap23_S1,1,A+,16,18,18,15,13,4/23/2018,4/25/2018,2,
Ap26,Ap23_S1,1,BR+,17,19,17,10,17,4/23/2018,4/25/2018,2,
Ap26,Ap23_S2,2,C,19,19,19,20,3,4/23/2018,4/25/2018,2,
Ap26,Ap23_S2,2,A+,20,20,20,18,2,4/23/2018,4/25/2018,2,
Ap26,Ap23_S2,2,BR+,15,14,20,0,31,4/23/2018,4/25/2018,2,
Ap26,Ap23_S3,3,C,20,20,20,20,0,4/23/2018,4/26/2018,3,
Ap26,Ap23_S3,3,A+,20,20,20,20,0,4/23/2018,4/26/2018,3,
Ap26,Ap23_S3,3,BR+,20,19,20,20,1,4/23/2018,4/26/2018,3,
Ap26,Ap23_S4,4,C,20,19,20,20,1,4/23/2018,4/25/2018,2,
Ap26,Ap23_S4,4,A+,20,18,18,20,4,4/23/2018,4/25/2018,2,
Ap26,Ap23_S4,4,BR+,4,0,16,0,60,4/23/2018,4/25/2018,2,
Ap26,Ap23_S5,5,C,20,19,20,20,1,4/23/2018,4/25/2018,2,
Ap26,Ap23_S5,5,A+,20,19,19,19,3,4/23/2018,4/25/2018,2,
Ap26,Ap23_S5,5,BR+,19,12,17,3,29,4/23/2018,4/25/2018,2,
Ap26,Ap23_S6,6,C,20,20,20,20,0,4/23/2018,4/26/2018,3,
Ap26,Ap23_S6,6,A+,20,19,20,19,2,4/23/2018,4/26/2018,3,
Ap26,Ap23_S6,6,BR+,20,20,19,11,10,4/23/2018,4/26/2018,3,
Ma25,May22_S1,1,C,20,19,20,19,2,5/22/2018,5/24/2018,2,
Ma25,May22_S1,1,A+,17,20,18,20,5,5/22/2018,5/24/2018,2,hopper and silverfish found in the arthropod dish
Ma25,May22_S1,1,BR+,20,19,19,18,4,5/22/2018,5/24/2018,2,
Ma25,May22_S2,2,C,20,20,20,20,0,5/22/2018,5/23/2018,1,
Ma25,May22_S2,2,A+,20,20,20,20,0,5/22/2018,5/23/2018,1,
Ma25,May22_S2,2,BR+,14,20,19,10,17,5/22/2018,5/23/2018,1,
Ma25,May22_S3,3,C,20,20,20,20,0,5/22/2018,5/24/2018,2,
Ma25,May22_S3,3,A+,17,20,20,18,5,5/22/2018,5/24/2018,2,
Ma25,May22_S3,3,BR+,19,20,20,18,3,5/22/2018,5/24/2018,2,
